Id,ActivityDate,TotalSteps,TotalDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,PercentLightDistance,PercentModerateDistance,PercentVeryActiveDistance,TotalActiveMins,PercentLightlyActiveMins,PercentVeryActiveMins
1503960366,4/12/2016,13162,8.50,0,1.88,0.55,6.06,25,13,328,728,1985,71.29,6.47,22.12,366,89.62,6.83
1503960366,4/13/2016,10735,6.97,0,1.57,0.69,4.71,21,19,217,776,1797,67.58,9.90,22.53,257,84.44,8.17
1503960366,4/14/2016,10460,6.74,0,2.44,0.40,3.91,30,11,181,1218,1776,58.01,5.93,36.20,222,81.53,13.51
1503960366,4/15/2016,9762,6.28,0,2.14,1.26,2.83,29,34,209,726,1745,45.06,20.06,34.08,272,76.84,10.66
1503960366,4/16/2016,12669,8.16,0,2.71,0.41,5.04,36,10,221,773,1863,61.76,5.02,33.21,267,82.77,13.48
1503960366,4/17/2016,9705,6.48,0,3.19,0.78,2.51,38,20,164,539,1728,38.73,12.04,49.23,222,73.87,17.12
1503960366,4/18/2016,13019,8.59,0,3.25,0.64,4.71,42,16,233,1149,1921,54.83,7.45,37.83,291,80.07,14.43
1503960366,4/19/2016,15506,9.88,0,3.53,1.32,5.03,50,31,264,775,2035,50.91,13.36,35.73,345,76.52,14.49
1503960366,4/20/2016,10544,6.68,0,1.96,0.48,4.24,28,12,205,818,1786,63.47,7.19,29.34,245,83.67,11.43
1503960366,4/21/2016,9819,6.34,0,1.34,0.35,4.65,19,8,211,838,1775,73.34,5.52,21.14,238,88.66,7.98
1503960366,4/22/2016,12764,8.13,0,4.76,1.12,2.24,66,27,130,1217,1827,27.55,13.78,58.55,223,58.30,29.60
1503960366,4/23/2016,14371,9.04,0,2.81,0.87,5.36,41,21,262,732,1949,59.29,9.62,31.08,324,80.86,12.65
1503960366,4/24/2016,10039,6.41,0,2.92,0.21,3.28,39,5,238,709,1788,51.17,3.28,45.55,282,84.40,13.83
1503960366,4/25/2016,15355,9.80,0,5.29,0.57,3.94,73,14,216,814,2013,40.20,5.82,53.98,303,71.29,24.09
1503960366,4/26/2016,13755,8.79,0,2.33,0.92,5.54,31,23,279,833,1970,63.03,10.47,26.51,333,83.78,9.31
1503960366,4/27/2016,18134,12.21,0,6.40,0.41,5.41,78,11,243,1108,2159,44.31,3.36,52.42,332,73.19,23.49
1503960366,4/28/2016,13154,8.53,0,3.54,1.16,3.79,48,28,189,782,1898,44.43,13.60,41.50,265,71.32,18.11
1503960366,4/29/2016,11181,7.15,0,1.06,0.50,5.58,16,12,243,815,1837,78.04,6.99,14.83,271,89.67,5.90
1503960366,4/30/2016,14673,9.25,0,3.56,1.42,4.27,52,34,217,712,1947,46.16,15.35,38.49,303,71.62,17.16
1503960366,5/1/2016,10602,6.81,0,2.29,1.60,2.92,33,35,246,730,1820,42.88,23.49,33.63,314,78.34,10.51
1503960366,5/2/2016,14727,9.71,0,3.21,0.57,5.92,41,15,277,798,2004,60.97,5.87,33.06,333,83.18,12.31
1503960366,5/3/2016,15103,9.66,0,3.73,1.05,4.88,50,24,254,816,1990,50.52,10.87,38.61,328,77.44,15.24
1503960366,5/4/2016,11100,7.15,0,2.46,0.87,3.82,36,22,203,1179,1819,53.43,12.17,34.41,261,77.78,13.79
1503960366,5/5/2016,14070,8.90,0,2.92,1.08,4.88,45,24,250,857,1959,54.83,12.13,32.81,319,78.37,14.11
1503960366,5/6/2016,12159,8.03,0,1.97,0.25,5.81,24,6,289,754,1896,72.35,3.11,24.53,319,90.60,7.52
1503960366,5/7/2016,11992,7.71,0,2.46,2.12,3.13,37,46,175,833,1821,40.60,27.50,31.91,258,67.83,14.34
1503960366,5/8/2016,10060,6.58,0,3.53,0.32,2.73,44,8,203,574,1740,41.49,4.86,53.65,255,79.61,17.25
