Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,TotalHoursAsleep
1503960366,4/12/2016 12:00:00 AM,1,327,346,8.175
1503960366,4/13/2016 12:00:00 AM,2,384,407,9.6
1503960366,4/15/2016 12:00:00 AM,1,412,442,10.3
1503960366,4/16/2016 12:00:00 AM,2,340,367,8.5
1503960366,4/17/2016 12:00:00 AM,1,700,712,17.5
1503960366,4/19/2016 12:00:00 AM,1,304,320,7.6
1503960366,4/20/2016 12:00:00 AM,1,360,377,9
1503960366,4/21/2016 12:00:00 AM,1,325,364,8.125
1503960366,4/23/2016 12:00:00 AM,1,361,384,9.025
1503960366,4/24/2016 12:00:00 AM,1,430,449,10.75
1503960366,4/25/2016 12:00:00 AM,1,277,323,6.925
1503960366,4/26/2016 12:00:00 AM,1,245,274,6.125
1503960366,4/28/2016 12:00:00 AM,1,366,393,9.15
1503960366,4/29/2016 12:00:00 AM,1,341,354,8.525
1503960366,4/30/2016 12:00:00 AM,1,404,425,10.1
1503960366,5/1/2016 12:00:00 AM,1,369,396,9.225
1503960366,5/2/2016 12:00:00 AM,1,277,309,6.925
1503960366,5/3/2016 12:00:00 AM,1,273,296,6.825
1503960366,5/5/2016 12:00:00 AM,1,247,264,6.175
1503960366,5/6/2016 12:00:00 AM,1,334,367,8.35
1503960366,5/7/2016 12:00:00 AM,1,331,349,8.275
1503960366,5/8/2016 12:00:00 AM,1,594,611,14.85
1503960366,5/9/2016 12:00:00 AM,1,338,342,8.45
1503960366,5/10/2016 12:00:00 AM,1,383,403,9.575
1503960366,5/11/2016 12:00:00 AM,1,285,306,7.125
1644430081,4/29/2016 12:00:00 AM,1,119,127,2.975
1644430081,4/30/2016 12:00:00 AM,1,124,142,3.1
1644430081,5/2/2016 12:00:00 AM,1,796,961,19.9
1644430081,5/8/2016 12:00:00 AM,1,137,154,3.425
1844505072,4/15/2016 12:00:00 AM,1,644,961,16.1
1844505072,4/30/2016 12:00:00 AM,1,722,961,18.05
1844505072,5/1/2016 12:00:00 AM,1,590,961,14.75
1927972279,4/12/2016 12:00:00 AM,3,750,775,18.75
1927972279,4/13/2016 12:00:00 AM,1,398,422,9.95
1927972279,4/15/2016 12:00:00 AM,2,475,499,11.875
1927972279,4/26/2016 12:00:00 AM,1,296,315,7.4
1927972279,4/28/2016 12:00:00 AM,1,166,178,4.15
2026352035,4/12/2016 12:00:00 AM,1,503,546,12.575
2026352035,4/13/2016 12:00:00 AM,1,531,565,13.275
2026352035,4/14/2016 12:00:00 AM,1,545,568,13.625
2026352035,4/15/2016 12:00:00 AM,1,523,573,13.075
2026352035,4/16/2016 12:00:00 AM,1,524,567,13.1
2026352035,4/17/2016 12:00:00 AM,1,437,498,10.925
2026352035,4/19/2016 12:00:00 AM,1,498,540,12.45
2026352035,4/20/2016 12:00:00 AM,1,461,510,11.525
2026352035,4/21/2016 12:00:00 AM,1,477,514,11.925
2026352035,4/22/2016 12:00:00 AM,1,520,545,13
2026352035,4/23/2016 12:00:00 AM,1,522,554,13.05
2026352035,4/24/2016 12:00:00 AM,1,555,591,13.875
2026352035,4/25/2016 12:00:00 AM,1,506,531,12.65
2026352035,4/27/2016 12:00:00 AM,1,508,545,12.7
2026352035,4/28/2016 12:00:00 AM,1,513,545,12.825
2026352035,4/29/2016 12:00:00 AM,1,490,510,12.25
2026352035,4/30/2016 12:00:00 AM,1,573,607,14.325
2026352035,5/1/2016 12:00:00 AM,1,527,546,13.175
2026352035,5/2/2016 12:00:00 AM,1,511,543,12.775
2026352035,5/4/2016 12:00:00 AM,1,538,560,13.45
2026352035,5/5/2016 12:00:00 AM,1,468,485,11.7
2026352035,5/6/2016 12:00:00 AM,1,524,548,13.1
2026352035,5/7/2016 12:00:00 AM,1,511,521,12.775
2026352035,5/8/2016 12:00:00 AM,1,541,568,13.525
2026352035,5/9/2016 12:00:00 AM,1,531,556,13.275
2026352035,5/10/2016 12:00:00 AM,1,357,380,8.925
2026352035,5/11/2016 12:00:00 AM,1,523,553,13.075
2026352035,5/12/2016 12:00:00 AM,1,456,485,11.4
2320127002,4/23/2016 12:00:00 AM,1,61,69,1.525
2347167796,4/13/2016 12:00:00 AM,1,467,531,11.675
2347167796,4/14/2016 12:00:00 AM,1,445,489,11.125
2347167796,4/15/2016 12:00:00 AM,1,452,504,11.3
2347167796,4/17/2016 12:00:00 AM,1,556,602,13.9
2347167796,4/18/2016 12:00:00 AM,1,500,557,12.5
